"wkt","typ"
"LINESTRING (16.6082044573577 49.1989266853115,16.6069596396516 49.1979207720781)","_Zona30_pesi_obytna"
"LINESTRING (16.5968032914745 49.199584404832,16.5934465793601 49.199112785253,16.5912985292097 49.1990799897465,16.5912029145892 49.1991500488932)","_Zona30_pesi_obytna"
"LINESTRING (16.5051532428242 49.2464814827625,16.5051225251769 49.2467966772637,16.5051225286594 49.2467966791022,16.5051210710533 49.2468034561134,16.5051180592424 49.2468100097878,16.5051135630061 49.2468161882847,16.5051135686855 49.2468161902608,16.5047316054517 49.2472521218334,16.5047316028452 49.2472521250835,16.5047280497429 49.2472557634642,16.504723979869 49.2472591619108,16.5047239744803 49.2472591646007,16.5035081916725 49.2481796303771,16.5035081951531 49.2481796345992,16.5035022385099 49.2481836162072,16.5035022322436 49.2481836176893,16.5028802498932 49.2485507998568,16.5028802555166 49.2485508004457,16.5028753020996 49.2485540391595,16.5028708780384 49.2485575911597,16.50287087795 49.2485575910575,16.5022932000205 49.2490729500753,16.5022931998856 49.2490729460799,16.5022880027134 49.2490783487107,16.5022840268722 49.2490841787815,16.5022840250571 49.2490841789937,16.5019008488912 49.2497738647635,16.5019008505644 49.249773868331,16.5018964345564 49.2497802286601,16.5018905667319 49.2497860643638,16.5018905716694 49.2497860639939,16.5012677509242 49.2503114895848,16.5012677500854 49.2503114868382,16.5012626353083 49.2503164523219,16.50125857399 49.2503218187523,16.5012585733821 49.2503218226852,16.5008947730703 49.2508957466762,16.5008947683615 49.2508957479747,16.5008920651335 49.250900862185,16.5008903200938 49.2509061519546,16.5008903224653 49.2509061564057,16.5008157319602 49.2512238774029,16.5008157373302 49.251223881536,16.5008149405071 49.2512307320362,16.5008157473625 49.251237582033,16.5008181390584 49.2512442715909,16.5008220597533 49.2512506445199,16.5008220586642 49.2512506467811,16.5011053147756 49.2516255291968,16.5011053186283 49.2516255306876,16.5011108172046 49.2516315684993,16.5011176861485 49.2516369715206,16.5011176887483 49.2516369735672,16.5019253906179 49.252179699976,16.5019253903249 49.2521797002874,16.5019329352662 49.2521857400042,16.5019329339917 49.2521857409964,16.502345927238 49.2525820980312,16.5023459337978 49.2525820982329,16.502348538314 49.2525847991092,16.5023485429948 49.2525848004414,16.5026830423577 49.2529606196102,16.502683044638 49.2529606200027,16.5026878370166 49.2529653025148,16.5026934866764 49.2529695557656,16.5026934874052 49.2529695553426,16.5029737449069 49.2531555927888,16.5029737506319 49.2531555889213,16.5029785078325 49.2531584622962,16.5029836571124 49.2531610297798,16.5029836567467 49.2531610255431,16.5034497049224 49.2533714538996,16.5034497030873 49.2533714519845,16.5034575004617 49.2533755514746,16.5034643057551 49.2533803486954,16.5034699746984 49.2533857419482,16.5034743871123 49.253391616899,16.5034743860642 49.2533916142783,16.5037409143871 49.2538233022102,16.5037409078061 49.2538233031017,16.5037440502032 49.253829753082,16.5037456775297 49.253836438786,16.5037456824016 49.2538364354022,16.503774148715 49.2540613846276,16.5037741423013 49.2540613817039,16.5037742968087 49.2540672618096,16.5037732775528 49.2540731048171,16.5037711019705 49.2540788107642,16.503771095903 49.254078805974,16.5036221098458 49.2543832429957,16.5036221090829 49.2543832408051,16.503621511937 49.2543845267624,16.5036215076254 49.2543845296242,16.5034785442245 49.2547097885618,16.5034785504787 49.2547097874155,16.5034767223251 49.2547151692781,16.5034759141962 49.2547206571389,16.5034761382431 49.254726168484,16.5034761350539 49.2547261704987,16.5035161850979 49.2550234608067,16.5035161882559 49.2550234652597,16.5035162586656 49.255030801106,16.5035145056901 49.2550380468045,16.5035109759938 49.2550450094701,16.503505763539 49.2550515037522,16.5034990070838 49.2550573567688,16.5034908864891 49.2550624127087,16.5034816179301 49.2550665369795,16.5034816135922 49.255066539456,16.5029130324821 49.255277346415,16.5029130266616 49.2552773490737,16.5029064858353 49.2552801055103,16.5029004630936 49.2552833283579,16.5029004637848 49.2552833295652,16.5026995798241 49.2554038710391,16.5026995817558 49.2554038685952,16.5026456808626 49.2554400666383,16.5025983277701 49.2554799960651,16.5025581209702 49.2555231522246,16.5025255686399 49.2555689896832,16.5025010822181 49.2556169291178,16.5024849712045 49.2556663646376,16.5024849745503 49.2556663685118,16.502394793287 49.2560468027567,16.5023947913926 49.2560468021092,16.5023813405709 49.2560896610303,16.5023615891374 49.2561314612704,16.5023615951962 49.2561314658177,16.5020666366221 49.2566625933957,16.5020666436255 49.256662592156,16.5020323436997 49.256714085611,16.5020323406416 49.2567140864622,16.5019842346359 49.2567755082446,16.5019842399402 49.2567755129719,16.5019412791618 49.2568229573427,16.5018897671577 49.2568666020669,16.5018304789586 49.2569057904641,16.5017643066022 49.2569399329025,16.5016922457121 49.2569685156713,16.50169224256 49.2569685175021,16.501464259809 49.2570468586332,16.5014735779155 49.2572722904777,16.5014735821613 49.2572722944432,16.5014706361067 49.2573277919759,16.5014572605792 49.2573826285375,16.5014336595702 49.2574359676698,16.5014001930506 49.2574869957533,16.5014001897966 49.2574869977598,16.5013480929541 49.2575545832303,16.5013480910288 49.2575545863875,16.5013200145175 49.2575960967916,16.5012984761002 49.2576392486842,16.5012836953539 49.2576836021806,16.5012758229703 49.2577287051459,16.5012758293133 49.2577287081066,16.5012357819231 49.2581425624322,16.5012357787214 49.2581425630625,16.5012282161261 49.2581864315918,16.5012141171176 49.2582296032339,16.5011936176022 49.2582716617885,16.501193623053 49.2582716604735,16.5011270750894 49.2583880909299,16.5011270804678 49.2583880946968,16.5011045093905 49.2584353823086,16.5010900237605 49.2584840081797,16.5010837994652 49.2585333819652,16.5010859120961 49.2585829042384,16.5010963360294 49.2586319737681,16.501114944736 49.2586799948178,16.5011415123168 49.2587263843787,16.5011415104069 49.2587263802012,16.5011546746899 49.2587459956023,16.5011546688821 49.2587459952057,16.5011825242016 49.2587951059357,16.501201463192 49.2588460039111,16.5012112287382 49.2588979982175,16.5012116882483 49.258950383056,16.5012028354553 49.259002447324,16.5011847905035 49.2590534842686,16.5011577983191 49.2591028010801,16.5011222252872 49.2591497282972,16.5010785542791 49.2591936288946,16.5010273780989 49.2592339069312,16.5009693914367 49.2592700156398,16.5009693890367 49.2592700140736,16.500926582666 49.2592937217743,16.5008128602405 49.2594206376286,16.5008128620338 49.2594206338124,16.5007657509375 49.2594664960458,16.5007103993052 49.2595082290556,16.5006476433457 49.2595452023574,16.5005784311358 49.2595768573733,16.5005038082971 49.259602715871,16.5004249021985 49.2596223871891,16.5003429049241 49.2596355741397,16.5003429008004 49.2596355765358,16.4997149463877 49.2597101294401,16.4997149434826 49.2597101275482,16.499636149914 49.2597226653319,16.4995601624338 49.2597411924465,16.4994880397602 49.2597654507582,16.4994207867679 49.2597951022817,16.4993593404882 49.2598297338883,16.4993045570538 49.2598688630622,16.4992571997706 49.2599119446226,16.4992179284822 49.2599583783191,16.4991872903758 49.2600075171947,16.4991657123569 49.2600586765992,16.4991657073111 49.2600586737328,16.4991415558258 49.260132758727,16.4991415524937 49.2601327579117,16.4991201669246 49.2601835469225,16.4990898513458 49.2602323500998,16.4990510219324 49.2602784974281,16.4990042117491 49.2603213553521,16.4989500634335 49.2603603354752,16.4989500613777 49.2603603354536,16.498160276679 49.2608659106124,16.4981602716579 49.2608659098629,16.498106239602 49.260904794353,16.4980595099182 49.2609475399876,16.4980595170639 49.260947536611,16.4973841804509 49.2616485299485,16.4973841750911 49.2616485269554,16.4973412746165 49.2616881406987,16.4972920974044 49.2617244957658,16.4972920917202 49.2617244992805,16.4955814646523 49.2628592157785,16.4955814668501 49.2628592173934,16.4955368309426 49.2628863114525,16.4955368272397 49.2628863095372,16.4949464397745 49.2632140557299,16.4949464435641 49.2632140553322,16.4948866884812 49.2632437141279,16.4948223497279 49.2632689335309,16.4947541939953 49.2632894130123,16.4946830334633 49.2633049085266,16.4946097161212 49.2633152354198,16.4945351156627 49.2633202706305,16.4944601210725 49.2633199541558,16.4944601253764 49.2633199508609,16.4942283233153 49.2633106819817,16.4942283171617 49.2633106797831,16.4941568554811 49.2633102576456,16.49408571341 49.2633146960966,16.4940156607173 49.2633239471112,16.4939474553854 49.2633379105921,16.493947459121 49.2633379132024,16.4939385978818 49.2633400636265,16.4939385938526 49.2633400618775,16.4938645711271 49.2633613533839,16.4937948832336 49.2633881890442,16.4937304954295 49.2634201971565,16.4936722995651 49.2634569343745,16.4936211017312 49.2634978918475,16.4935776110935 49.2635425022686,16.4935424300692 49.2635901477317,16.4935424360391 49.2635901460889,16.493308836765 49.2639607031258,16.4933088422043 49.2639607051582,16.4932830053363 49.2639970138679,16.4932523336434 49.2640316737441,16.4932523396823 49.26403167035,16.4920545548153 49.2649668375143,16.4906742363351 49.2654714194737,16.4901180915264 49.2663481603168,16.4876901839545 49.2672023068112,16.4867825465244 49.2683444504841,16.485885277609 49.2690178231572,16.4848033960044 49.271198253491,16.4826600499792 49.2737644956465,16.4819950460121 49.2741141956541,16.4790371392767 49.2785567032768)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6249798495865 49.245143664999,16.6247835346987 49.2450082334466,16.6247835346986 49.2450082334465,16.6247427497687 49.2449842578835,16.6246966574904 49.2449648365218,16.6246464323274 49.2449504642291,16.6245933540479 49.2449415072194,16.6245387751163 49.2449381937223,16.6244840862329 49.2449406081673,16.6244306808996 49.2449486890333,16.6243799199139 49.2449622304152,16.6243799199141 49.2449622304152,16.6243635864055 49.2449676197098,16.6243635864057 49.2449676197096,16.6243510649066 49.2449709394479,16.6243378832413 49.2449728752831,16.6243243956153 49.2449733751974,16.6243109644554 49.2449724257575,16.6242979506711 49.2449700524757,16.6242857039566 49.2449663191249,16.6242745533937 49.244961326024,16.6242647986095 49.2449552073428,16.6242647986095 49.2449552073427,16.6237479027199 49.2445730392661,16.6237479027198 49.2445730392659,16.6237383727907 49.2445670404141,16.6237275003661 49.2445621164208,16.6237155652357 49.2445583939994,16.6237028745366 49.2445559689421,16.6236897548497 49.2445549036551,16.6236765437949 49.2445552255522,16.6236635813435 49.2445569263498,16.6236512010694 49.2445599622799,16.6236512010695 49.2445599622799,16.6234449314737 49.2446233206199,16.6234449314736 49.24462332062,16.623349400413 49.2446557109077,16.6232580342795 49.2446928968522,16.6232580342794 49.2446928968521,16.6220384620329 49.2452337194959,16.6220384620328 49.2452337194957,16.6219598421695 49.2452660995217,16.6219598421696 49.2452660995217,16.6208128611486 49.2457037606794,16.6208128611484 49.2457037606793,16.6207505497091 49.2457290183011,16.620690384632 49.2457564158281,16.6206903846321 49.2457564158282,16.6206392546941 49.2457810495742,16.6206392546942 49.2457810495741,16.6205422933441 49.2458237250478,16.6204401430066 49.2458608513042,16.620333542798 49.2458921597097,16.6202232640376 49.2459174237262,16.6201101046653 49.2459364605507,16.6201101046653 49.2459364605506,16.6194892894306 49.2460226536802,16.6194892894307 49.2460226536803,16.6194173941516 49.2460339672826,16.6193465329618 49.2460477974003,16.619346532962 49.2460477974002,16.6185095099063 49.2462273535178,16.6185095099062 49.2462273535179,16.6184490066036 49.2462413651507,16.6183895690049 49.2462572116822,16.6183895690047 49.2462572116823,16.6172027790485 49.246594980983,16.6172027790484 49.2465949809831,16.6171649738912 49.2466061878784,16.6171649738914 49.2466061878784,16.6159927997742 49.2469677237435,16.6159927997742 49.2469677237436,16.6159558537179 49.2469809898228,16.615921667672 49.2469971184918,16.6158907564003 49.2470158668911,16.6158907564003 49.2470158668909,16.6158801313493 49.2470231538002,16.6158801313491 49.2470231538002,16.6158608476473 49.2470344527988,16.6158391002276 49.2470436365277,16.6158154251801 49.2470504786007,16.6157904061131 49.2470548103552,16.6157646597668 49.2470565250099,16.6157388208097 49.2470555802971,16.6157135261933 49.2470519995049,16.6157135261932 49.247051999505,16.6155605472836 49.247021944919,16.6155605472836 49.247021944919,16.615541048153 49.2470189459078,16.6155211373535 49.2470175174306,16.6155011089038 49.2470176805814,16.6155011089038 49.2470176805815,16.6147087915923 49.2470557356573,16.6147087915921 49.2470557356573,16.6146268933409 49.2470580631987,16.6145449288544 49.2470571881298,16.6145449288544 49.2470571881298,16.6125299035076 49.2469962454092,16.6125299035075 49.2469962454092,16.6124613675799 49.2469952930552,16.6123928444247 49.2469965804096,16.6123928444245 49.2469965804096,16.611780157146 49.247018116885,16.6117801571458 49.2470181168851,16.6116689304147 49.247019073285,16.6115579502123 49.2470141343534,16.611447944405 49.2470033324824,16.6114479444048 49.2470033324825,16.610712687753 49.2469110646522,16.6107126877532 49.2469110646522,16.6106518662938 49.2469024926861,16.6105917001491 49.2468921264166,16.610591700149 49.2468921264167,16.6097157623172 49.2467272300204,16.6097157623171 49.2467272300205,16.609626476614 49.2467082359222,16.6095393813512 49.2466852932813,16.6095393813513 49.2466852932814,16.6085839645482 49.2464084139295,16.608583964548 49.2464084139296,16.6085453548221 49.2463967534318,16.6085453548222 49.2463967534318,16.6081522273776 49.2462731575376,16.6081522273776 49.2462731575376,16.6080960792986 49.2462565093187,16.6080388469413 49.2462415269767,16.6080388469413 49.2462415269767,16.607433313059 49.2460932353946,16.6074333130587 49.2460932353946,16.6073231450229 49.246069673256,16.6073231450227 49.246069673256,16.6067058978812 49.2459562855087,16.606705897881 49.2459562855087,16.6066212456061 49.2459426163193,16.6065354392515 49.2459324907809,16.6065354392517 49.2459324907809,16.6061637714061 49.2458965638616,16.6061637714059 49.2458965638617,16.6060976540986 49.24588798359,16.6060331399852 49.2458752013903,16.6059708505095 49.2458583403898,16.6059113856845 49.2458375630053,16.6059113856845 49.2458375630052,16.6051306826247 49.245531641865,16.6051306826245 49.2455316418649,16.6050676417847 49.2455037206928,16.6050097073346 49.2454714039563,16.6049575908423 49.2454350885849,16.6049575908422 49.245435088585,16.6045458364493 49.2451142588667,16.6045458364493 49.2451142588666,16.6045163649333 49.2450896004565,16.6045163649331 49.2450896004565,16.6044168843112 49.2450001127436,16.6044168843111 49.2450001127435,16.6043850454043 49.2449754189336,16.6043481277745 49.2449539688321,16.6043481277744 49.2449539688322,16.6043458986042 49.2449528503194,16.6043458986043 49.2449528503193,16.6043110204093 49.2449327573484,16.6042806042463 49.2449097658756,16.6042806042463 49.2449097658757,16.6040699640386 49.2447268747885,16.6040699640385 49.2447268747884,16.6040426625529 49.2446991500224,16.6040218519158 49.2446691080307,16.6040218519157 49.2446691080308,16.6039915048234 49.2446150728437,16.6039915048233 49.2446150728437,16.6039777356978 49.2445939539664,16.603960747968 49.2445738648148,16.6039407188633 49.2445550149704,16.6039178573417 49.2445376010851,16.6039178573418 49.2445376010852,16.6035451660175 49.244281433768,16.6035451660176 49.2442814337679,16.6035206171662 49.2442625809735,16.6034993857975 49.2442420741854,16.6034993857976 49.2442420741855,16.6033240493354 49.2440508156972,16.6033240493352 49.2440508156972,16.603307769657 49.244030842584,16.6032946407235 49.2440098987666,16.6032946407236 49.2440098987665,16.6032472549437 49.2439219377378,16.6029701012053 49.2437582696701,16.6029701012053 49.2437582696701,16.6029075673348 49.2437189270604,16.6028489506368 49.243677078948,16.6028489506367 49.2436770789482,16.6027606322982 49.2436098849078,16.6027606322983 49.2436098849077,16.6026910009836 49.2435607386476,16.6026159714352 49.2435151249914,16.6025359605933 49.2434732974064,16.6024514130751 49.2434354883204,16.6024514130751 49.2434354883204,16.6021557366566 49.243313588915,16.6021557366565 49.2433135889151,16.60209431126 49.2432867278926,16.6020351803906 49.2432577435961,16.6020351803905 49.243257743596,16.6016297900498 49.2430476601369,16.6016297900498 49.2430476601368,16.6015703479697 49.243015026247,16.6015138148267 49.2429802471408,16.6015138148269 49.2429802471407,16.6012606161459 49.2428154198443,16.601260616146 49.2428154198445,16.6011726008935 49.2427628905917,16.6010779663846 49.2427155508839,16.6010779663845 49.242715550884,16.6008809394952 49.2426255716778,16.6008809394952 49.2426255716778,16.6007998269847 49.2425912396442,16.6007152299182 49.2425607247771,16.6006275666417 49.2425341779751,16.6005372706617 49.2425117305145,16.6005372706616 49.2425117305145,16.6004469322164 49.2424916220416,16.6003040693014 49.2424760894079,16.6003040693014 49.2424760894079,16.6002326747074 49.2424657432315,16.6001633650935 49.2424504853983,16.6000969262999 49.2424304889036,16.6000341116143 49.2424059804704,16.6000341116144 49.2424059804703,16.5998905563164 49.2423429556553,16.5998905563166 49.2423429556553,16.599837979309 49.242317412604,16.599789356399 49.2422887074737,16.5997893563992 49.2422887074738,16.5992493852013 49.2419379604459,16.5992493852012 49.241937960446,16.5992147550968 49.2419137415054,16.5991829467946 49.2418879166108,16.5991541334705 49.2418606263655,16.5991284719931 49.2418320193512,16.599128471993 49.2418320193513,16.5989516318227 49.241617095256,16.5989516318227 49.241617095256,16.5989242059048 49.2415866868778,16.5988932196872 49.2415577815834,16.5988932196872 49.2415577815834,16.5987273453495 49.2414152930312,16.5987273453496 49.2414152930313,16.598688718905 49.2413849720569,16.598688718905 49.2413849720569,16.598444909698 49.2412098301143,16.598444909698 49.2412098301142,16.5984212287414 49.2411953028592,16.5983943575009 49.2411833905936,16.5983649627098 49.2411743888854,16.5983337737147 49.2411685210856,16.5983015643791 49.2411659327865,16.5982691338827 49.2411666882089,16.5982691338826 49.241166688209,16.5978178031335 49.2412006425131,16.5978178031336 49.2412006425131,16.5977613130986 49.2412018264543,16.5977052917503 49.2411969266522,16.5976512570447 49.2411860758719,16.5976006731052 49.2411695681262,16.5975549105501 49.241147850709,16.59755491055 49.241147850709,16.5972118408627 49.2409549422213,16.5972118408626 49.2409549422213,16.5971593661133 49.2409292857976,16.5971020522263 49.2409085375971,16.5970409630397 49.2408930827379,16.5969772324627 49.2408832080852,16.5969120434304 49.2408790969272,16.5968466059472 49.240880825573,16.596782134629 49.2408883619365,16.5967198261592 49.2409015661316,16.5966608370778 49.2409201930688,16.5966608370779 49.2409201930689,16.5958239521043 49.2412321365597,16.5958239521042 49.2412321365597,16.5957657908065 49.2412505450423,16.5957043848524 49.2412636811571,16.5956408432675 49.241271307658,16.5955763136506 49.2412732868059,16.5955119614461 49.2412695828561,16.5954489488936 49.2412602627043,16.5954489488938 49.2412602627044,16.5950222155962 49.2411770611013,16.5950222155961 49.2411770611011,16.594973760365 49.2411693797295,16.5949243506416 49.2411650256781,16.5949243506416 49.2411650256782,16.5947575617322 49.2411560612139,16.5947575617324 49.2411560612139,16.5947189743618 49.2411529543485,16.5946808966663 49.2411478158983,16.5946808966665 49.2411478158982,16.5933123569919 49.2409250030662,16.5933123569918 49.2409250030662,16.593262146214 49.2409186629743,16.5932621462141 49.2409186629742,16.5927739003408 49.2408744927492,16.5927739003408 49.2408744927492,16.5927272998008 49.2408687305393,16.59268179325 49.240859989776,16.5926817932498 49.2408599897761,16.5923009715403 49.2407732704578,16.5923009715401 49.2407732704579,16.5922659672355 49.240764279847,16.5922321433076 49.2407535252922,16.5922321433076 49.2407535252923,16.5921555595922 49.2407267023811,16.592155559592 49.2407267023811,16.5921009497397 49.2407043740004,16.5920513870245 49.240677467518,16.5920077605711 49.2406464656246,16.5920077605711 49.2406464656247,16.5919667941609 49.2406131248626)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6621007751968 49.2441841703093,16.6619491631287 49.2442468755011,16.6619491631286 49.2442468755011,16.6618801668081 49.2442731658193,16.6618084370384 49.2442961069766,16.6617343524468 49.2443155778767,16.6616583040918 49.2443314757409,16.6615806933994 49.244343716651,16.6615019300433 49.2443522359924,16.6614224297825 49.244356988795,16.6613426122664 49.2443579499707,16.6613426122662 49.2443579499708,16.6601819161216 49.244344306971,16.6601819161218 49.2443443069709,16.6600406429327 49.2443435971784,16.6600406429329 49.2443435971783,16.65937714854 49.244344729588,16.65937714854 49.244344729588,16.6591270534398 49.244348138195,16.6588773137758 49.2443575071985,16.6586282608046 49.2443728241715,16.6586282608047 49.2443728241715,16.6566970089153 49.2445148539516,16.6566970089152 49.2445148539517,16.6564732519966 49.24453374902,16.6562505635957 49.2445574454083,16.6560291839804 49.2445859175499,16.6558093520073 49.244619134725,16.6555913048648 49.2446570610943,16.6553752778169 49.2446996557373,16.65516150395 49.244746872697,16.6549502139211 49.2447986610285,16.6549502139211 49.2447986610285,16.6541624995787 49.2450014490849,16.6541624995788 49.2450014490851,16.6539394107986 49.2450559751558,16.6537135683217 49.2451054044342,16.6534852437353 49.2451496774773,16.6532547116141 49.2451887410431,16.6532547116141 49.2451887410432,16.6523046812092 49.2453382618968,16.6523046812093 49.2453382618969,16.6521134629671 49.2453664722813,16.651921092711 49.2453910981348,16.6519210927112 49.2453910981349,16.6501375103781 49.2456021486106,16.6501375103782 49.2456021486106,16.6498751200889 49.245629773624,16.6496112934843 49.2456507310088,16.6493464257417 49.2456649893735,16.6490809135991 49.2456725273611,16.6488151547605 49.2456733336806,16.6485495472997 49.2456674071242,16.6482844890637 49.245654756569,16.648020377076 49.2456354009642,16.6477576069416 49.2456093693018,16.647496572254 49.2455767005738,16.6472376640052 49.2455374437137,16.6472376640052 49.2455374437136,16.6468041791874 49.2454659025086,16.6468041791874 49.2454659025085,16.6466293459322 49.2454402045013,16.6464527033152 49.2454205120592,16.6462747322649 49.2454068787971,16.6460959173252 49.2453993418327,16.6460959173253 49.2453993418327,16.6455600749489 49.245385933394,16.6455600749489 49.2453859333939,16.6453671200195 49.2453775368879,16.6451751931442 49.2453620419734,16.6449849030991 49.2453394977993,16.6447968534666 49.2453099758738,16.6446116407197 49.2452735698377,16.6444298523295 49.2452303951677,16.6442520649013 49.2451805888095,16.6440788423447 49.2451243087431)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6626274198632 49.2443283877878,16.6627256035992 49.2443584991334,16.6631696598999 49.2444784341491,16.6648657224503 49.2449433091556,16.6663460948913 49.2453393595054,16.6670360386818 49.2454841596056,16.6671905688298 49.2454820759517,16.6673831796356 49.2454608521674,16.6676098025856 49.245420415996,16.6690151754726 49.2450821736587,16.669285864747 49.2450142688301,16.6695585377796 49.2449504790132,16.6697857924081 49.2449028037833,16.6698868436364 49.2448825991977,16.6699628366909 49.2448770140812,16.6702185216745 49.2448689242242,16.6705555479746 49.2448819764062,16.6707727923596 49.2448837206255,16.6709936632227 49.2448688967997,16.671114008509 49.2448479107828,16.6712740421646 49.2448073202626,16.6714008573828 49.244765721009,16.6715256176729 49.2447097875238,16.6716360862685 49.2446282861316,16.6717327652094 49.2445247612588,16.6717722111251 49.2444453304305,16.6718037135707 49.2443959212849,16.6718387893606 49.2443573647546,16.671868698684 49.2443380622446,16.6718845964689 49.2443324539633,16.6719077927444 49.2443292586071,16.6719324184764 49.2443292357571,16.6719460800241 49.2443325192792,16.6719629586437 49.2443399230697,16.6719688501203 49.2443452584501,16.6719813566443 49.2443677879391,16.671982900812 49.2443841407669,16.671954783788 49.2444618840556,16.6719231189436 49.2445664468851,16.6718928237209 49.2448174371808,16.6718850065553 49.2449687380618,16.6718169820963 49.2451451118137,16.6717298802514 49.2453422889632,16.6716885254829 49.2454935111659,16.6716908167393 49.245627015653,16.6717697839209 49.2459288113466,16.6718044473276 49.2460887416447,16.6718277692437 49.2463088173073,16.6718077557958 49.2464309696439,16.671783292322 49.246499424637,16.6717462771492 49.2465512815978,16.6716123971176 49.2467052850668,16.6714942192027 49.2468465130737,16.6714509872078 49.2469065070004,16.6714304485353 49.2469750911023,16.6714355665464 49.2470530506041,16.6714753857492 49.2471350954577,16.6715655095221 49.2472082757399,16.6716831895077 49.2472491083391,16.671827722907 49.2472704397702,16.6720147447349 49.2472812837613,16.6721715037873 49.247268539321,16.6722738857967 49.247244300762,16.6723809960412 49.2471916456811,16.6724632069971 49.2471258898804,16.6727304698375 49.246765104668,16.6727302306843 49.246765426082,16.6730184897913 49.246379719409,16.6730648452579 49.2463217771974,16.673101587916 49.2462886447359,16.6731246077529 49.2462757868619,16.6731478386784 49.2462699400689,16.6732109804172 49.2462617304014,16.6732917717359 49.2462660520487,16.6736740451694 49.2463344088042,16.6741421221114 49.2464195301539,16.6743770040219 49.2464360193171,16.6745255888474 49.2463149513525,16.6745764455599 49.2462389077721,16.6746675090476 49.2459376947453,16.6746998588873 49.2458427089349,16.6747104683865 49.2458297708746)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6626274198632 49.2443283877878,16.6624348638564 49.2442651068886,16.6622849639342 49.2441725445659,16.6621555292605 49.2441634439383,16.662083161434 49.2441881821942)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6347002568644 49.162771159734,16.6340721938301 49.1630915213297)","_stezka_C8_C9_C10"
"LINESTRING (16.567287533838 49.1783267324169,16.5675203749124 49.1802287611421)","_stezka_C8_C9_C10"
"LINESTRING (16.6281182920337 49.1504260571445,16.6318743463696 49.1507455295081,16.6324510674032 49.1513588812475,16.6328852280969 49.1530538412825)","ostatni_pomocne"
