"WKT","id","prac_clk","vik_clk"
"LINESTRING ((16.4601842762408 49.2540097410759,16.4603385360917 49.2540232515769,16.4605026587678 49.254035983667,16.4607154282452 49.2540643438352,16.460799814267 49.2540778431985,16.4609894755961 49.2541334874293,16.4610695325059 49.2541727294378,16.4611344458797 49.2542099754898,16.4615199640337 49.2545375654969,16.4617550445607 49.2547546189497,16.4618612141109 49.2548917282631,16.4620126776713 49.2552172887224,16.4621260129548 49.2554433011073,16.4621842120276 49.2555410380153,16.4622416501237 49.255617821963,16.4623094187666 49.2556841321178,16.4623581512133 49.2557239206845,16.462404499179 49.2557524098858,16.4624657320239 49.2557819714308,16.4625473924024 49.2558158091084,16.462700054611 49.2558589233616,16.4627745982958 49.2558726166375,16.4628416810949 49.2558788968216,16.4629156631006 49.2558827790134,16.4629973095066 49.2558788902555,16.4630713171803 49.2558702896395,16.4631492368094 49.2558507527808,16.4632339039562 49.255828897445,16.4633726098222 49.2557774617245,16.4634996432402 49.2557321510503,16.4636077908724 49.2556980548487,16.4637172954378 49.2556682178155,16.4638189840641 49.2556462311846,16.4638932316898 49.2556361998778,16.4639918996497 49.2556321795251,16.4640772241547 49.2556327164883,16.4641612550112 49.2556401262174,16.4642707191256 49.2556606762566,16.4643689033035 49.2556858417793,16.4644780130376 49.2557216551104,16.4645562841875 49.2557509951844,16.4646700127722 49.2558094864838,16.4647899344949 49.2558697807161,16.4649026431917 49.2559351642918,16.4650380612607 49.2560175627726,16.4651351056481 49.2560873364317,16.4652243196181 49.2561650499947,16.4653110347117 49.2562452975277,16.4653566612398 49.2563044019075,16.465395732986 49.2563630342026,16.4654127792132 49.2564145617473,16.4654205473013 49.2565073075466,16.4653990824873 49.2565462006786,16.4653581548744 49.2565865871096,16.4652973687935 49.2566184869029,16.4652316831795 49.2566417108027,16.465148412914 49.2566552547607,16.4650551820349 49.2566639197932,16.4648735152897 49.256672457761,16.464807482075 49.25667801523,16.4647367536036 49.2566884816162,16.4646563327461 49.2567097392656,16.4645853822551 49.2567330359715,16.4645044988664 49.2567685540919,16.4642263320566 49.2569227595493,16.464150141098 49.2569895553751,16.4640489468168 49.2570751768479,16.463984363162 49.257142808648,16.4638956301669 49.2572603580059,16.4638646548505 49.2573393668442,16.4638535156281 49.2573941116442,16.4638481002826 49.2574608485941,16.4638558583494 49.2575207541955,16.4638913734956 49.2576136895167,16.4639304400522 49.2576978338521,16.4640090361112 49.2578518619077,16.4640580692552 49.2579819578538,16.4640909682007 49.2580797708069,16.4641242496799 49.2581983283786,16.4641550858448 49.2583528063829,16.4641872504973 49.2584936289682,16.4642104780699 49.2585963542497,16.4642377125643 49.2586999109188,16.4642870681993 49.2588502946148,16.4643606637006 49.2590439487067,16.4643885328576 49.2591174252987,16.4644174593138 49.2591879021283,16.4644874778744 49.2593551533138,16.4645376339455 49.2594555658761,16.4645873659882 49.2595469915749,16.4647580384765 49.2597502601892,16.4649940149465 49.2599531651932,16.4652851197875 49.2601677292649,16.4655530113265 49.2603444338598,16.4658721213536 49.2605445476843,16.4662971564437 49.2607723711571,16.4664749142989 49.2608406265675,16.4665689389246 49.2608667564274,16.4666624652626 49.2608851606104,16.4668924717899 49.2609213521606,16.4671033134127 49.2609383414014,16.4671620822374 49.2609406726804,16.467358210982 49.2609333521252,16.4675028160055 49.2609101993464,16.4676322602098 49.2608773267589,16.4677474630808 49.2608461199806,16.4678810491765 49.2608114606331,16.4680442815086 49.2607685166388,16.4682461912459 49.26070609763,16.4684137920892 49.2606728953137,16.4686214764841 49.2606181856197,16.4691325063951 49.2604764514773,16.4693559338332 49.2604145779241,16.4695367372328 49.2603553083829,16.4696585283594 49.2603107892804,16.4698535701796 49.2602292941163,16.4699767146706 49.2601693118308,16.4701267854061 49.2600889220299,16.4702355892286 49.260027907409,16.4703713829082 49.2599395238905,16.4705620074844 49.2598061437595,16.4708083817776 49.2595984312471,16.4710590957561 49.2593574675038,16.4711588897369 49.2592562698818,16.4713910769574 49.2590079111429,16.4715793660003 49.2588184533175,16.4717909199116 49.2586073289932,16.471906673794 49.2584728115989,16.4719675700347 49.2583842843173,16.4720533131647 49.25824163656,16.4723254986342 49.2577707120457,16.4724438246708 49.2575830041585,16.4727261786072 49.2572226857971,16.4729589915823 49.256932616441,16.4731660675897 49.2566772921133,16.4732963913404 49.2565333280558,16.4734202055629 49.2564314147842,16.473591092956 49.2563611136527,16.4738518718382 49.2562575646964,16.4742611052121 49.256113581666,16.4748083144154 49.2559413460321,16.4753743860857 49.2557983284523,16.4754807713992 49.2557672612581,16.4756653771108 49.2556851884545,16.4770214514816 49.2549789303511,16.4781581517929 49.2544118523306,16.4786765217525 49.2541534841436,16.478899961953 49.2539963987779,16.4790438986638 49.2538197554307,16.4791585718703 49.2536124207415,16.4792389151052 49.2534062362957,16.4792969618291 49.2532184416356,16.4793909897047 49.2529422255161,16.4796152720643 49.2526828831666,16.4797991423929 49.252551538844,16.4800533567054 49.2524201856016,16.4803478430172 49.2522868420055,16.4806158304937 49.2521639865475,16.4808906387446 49.2520465964951,16.4813931149302 49.2518646051306,16.4816976665238 49.2518079730544,16.4823196562679 49.251752987894,16.4828627859251 49.251703458973,16.483215537612 49.2516428691217,16.4834951856103 49.2515756676485,16.4837939228851 49.2514737417786,16.4841537305675 49.2513026556507,16.4844559116756 49.2511348457954,16.4849009393014 49.2508667512825,16.4851400129676 49.2507159360794,16.4852872845108 49.2506205833587,16.4854556239043 49.2505017758955,16.4856585205855 49.2503243873209,16.4858594806238 49.2501132064071,16.4859865027981 49.2499465592644,16.4861723734499 49.2496209414162,16.4862526216666 49.2494596182572,16.4863540287835 49.2492973726675,16.4864914581917 49.2491477565846,16.4866627843972 49.2489880009967,16.4868471980386 49.2488416695765,16.4870727198292 49.2486883399728,16.4872947728472 49.248567237676,16.4876058509906 49.2484599482227,16.4880025352579 49.2483637827818,16.4883682241003 49.2483165022487,16.4888338456793 49.2482905106638,16.4891928252661 49.2482560440083,16.4893989948286 49.248230503906,16.4906402617598 49.2480733092097,16.4912326292204 49.2480248375119,16.4915976378322 49.2480162169697,16.491958059925 49.2479772318965,16.4928942337386 49.2477851724849,16.4933559184645 49.2476761965206,16.4945596475136 49.2472470466558,16.4949978187143 49.2470325246761,16.495242610292 49.2468356944932,16.495493251721 49.2465428494718,16.4960735440985 49.2457583806638,16.4972579096274 49.2441460935516,16.4985730521714 49.2428503324589,16.4990541274139 49.2423852905265,16.4994485225059 49.2420389675678,16.5000233986112 49.2416782707615,16.5042664382199 49.2391835717767,16.5043634465085 49.2391041355888,16.5045744920307 49.2388508650265,16.5047195411227 49.2385138885476,16.5046738341182 49.2375422092374,16.50449908327 49.2357443176385,16.504470061543 49.2353406547773,16.5045037440723 49.2351598016839,16.5045430349832 49.2350528878436,16.5046285969566 49.2349096692217,16.5047003801989 49.2348191069231,16.5048816288557 49.234662123816,16.5050616513444 49.2345562544173,16.5052823682231 49.2344722092528,16.5056705741186 49.2343795467464,16.5059249563932 49.2343453047818,16.5063170310089 49.2342629616387,16.5082489473214 49.2339061835511,16.5084839080511 49.2338325708831,16.5087631694617 49.2337327597801,16.5091898331367 49.2335037933249,16.509388136564 49.2332796012368,16.5094902643671 49.2330940189638,16.5095762801853 49.2327793415384,16.5095453566046 49.2322923393125,16.5092694420794 49.2304890147166,16.509039686333 49.2290939950656,16.5089841583212 49.2289493464343,16.5088688154998 49.2286493385972,16.508634167966 49.2280821474237))","343","30","70"
"LINESTRING ((16.5176928188874 49.2298743503799,16.5176522744197 49.2298077629254,16.5175081747395 49.2296606684798,16.517085478444 49.2292926210784,16.5160465982953 49.2281022985874,16.5159141280678 49.2279228349687,16.5158165332829 49.2277719216612,16.515708886204 49.2276970175804,16.5155912148633 49.2276488142729,16.515451265526 49.227615660156,16.5152944531924 49.2275988747398,16.5152228013626 49.2275965200403,16.5150481382934 49.2276274948853,16.5149357098305 49.2276570018275,16.5145681482557 49.2277836449659,16.5144185655199 49.2278754234046,16.5142606562108 49.2279608157163,16.5135457744805 49.2282987718908,16.5132678319184 49.2283841581162,16.5129999425347 49.2284407734588,16.512808536371 49.2284628836289,16.5126075679206 49.2284521040458,16.5123904329201 49.2283991866721,16.5121559413263 49.2281483614103,16.5119764472419 49.2279708331646,16.5117886510671 49.2277843871915,16.5116642804131 49.2276579838368,16.5114462726807 49.227424032859,16.5114090577347 49.2273970228921,16.5113171000342 49.2273602011463,16.5111158224639 49.2273126870258,16.5110240364607 49.2272924499478,16.5109658456148 49.2272813686968,16.5106026674266 49.2272146347534,16.5103093374233 49.2271695684811,16.5102269600852 49.2271533701975,16.5100902130574 49.2271492689759,16.5100530599178 49.2271533909255,16.5099613836857 49.2271821007948,16.5099283540888 49.2271979164588,16.5098875512828 49.2272253692979,16.5098518487184 49.2272699955151,16.509821069611 49.2273440129197,16.5096580647972 49.2280658692659,16.5096419453747 49.2281210899529,16.5096168414385 49.2281653540331,16.5095554268507 49.2282030715357,16.5093736969329 49.228275551364,16.5089180094059 49.2281631928369,16.508663836174 49.228098024283,16.508634167966 49.2280821474237))","340","45","80"
"LINESTRING ((16.508634167966 49.2280821474237,16.5085521110237 49.2278664836527,16.5083173369453 49.2272579409091,16.5082869886982 49.227115548893,16.5082610006695 49.2269098744225,16.5082665721112 49.2268459551196,16.5083132206278 49.2267403824982,16.5083681918736 49.2266221989845,16.5084692918292 49.2264999042245,16.5086742390751 49.2263355705612,16.5089501679978 49.226198578292,16.5093523539864 49.2261044680189,16.5111476191119 49.2258507489054,16.5136583318727 49.2254612753173,16.516181380685 49.2250786942936,16.5165489153252 49.2250645795424,16.5172765099982 49.2251100799271,16.5176386127128 49.2251508444692,16.5177546298292 49.2251723591223,16.5178302668991 49.2251925201574,16.5179244027955 49.2252243182592))","331","15","20"
"LINESTRING ((16.5179244027955 49.2252243182592,16.5180678780154 49.2250771891195,16.5188133138623 49.2244729097302,16.5189186628894 49.224407721615,16.5189197419558 49.2243863596286))","330","0","0"
"LINESTRING ((16.508634167966 49.2280821474237,16.508555016708 49.2280515967498,16.5064850619209 49.2275698483177,16.5064122089491 49.2275776513983,16.505611357953 49.2277387853894,16.5045275115985 49.2278600793211,16.5041253498702 49.2278861481303,16.5033347849511 49.2279096871094,16.5029599344536 49.2278817052371,16.5025498861012 49.2278489537815,16.5024434175564 49.2278446635245,16.5022224132919 49.2278421982708,16.5018725392699 49.2278777093903,16.501473615438 49.227946338114))","342","25","35"
"LINESTRING ((16.5201149021541 49.227101614861,16.5193688611218 49.2271035725348,16.5192495741096 49.2270858965371,16.5191627518659 49.227063217197,16.5190607863992 49.2270253417906,16.5189795542556 49.2269840657052,16.5189279499441 49.2269539567327,16.5188827584954 49.2269234926906,16.5188467030522 49.2268904260972,16.5188111996874 49.2268540519595,16.5187670715514 49.2267907362091,16.5187266027611 49.2267237021361,16.5186904370756 49.226649920162,16.5186590121324 49.2265742160528,16.5186078900166 49.2264253661887,16.5184582376534 49.2259946415045,16.5183598813227 49.2256926966678,16.5183081480901 49.2255582765267,16.518236985327 49.2254492416602,16.518191654536 49.2253890055604,16.5181623933754 49.2253615813798,16.5180692798062 49.225293039061,16.5179969421641 49.2252539367036,16.5179244027955 49.2252243182592))","327","20","30"
"LINESTRING ((16.5201149021541 49.227101614861,16.520513829384 49.2271121678356,16.5207794503894 49.2271294610863,16.520914080359 49.2271627977659,16.5210371574332 49.2272074291337,16.521176479677 49.2272705914711,16.5213040651946 49.2273552573864,16.5214297929991 49.2274643049884,16.5217989718515 49.227779837699,16.5219601031588 49.2278820102969,16.5220660116488 49.2279459462595,16.5222010197351 49.2280159447576,16.5223327458693 49.2280725009909,16.5224583462853 49.2281235529221,16.5226643438566 49.2281919365921,16.522902397406 49.2282660510926,16.523245364033 49.2283670302544))","325","20","30"
"LINESTRING ((16.523245364033 49.2283670302544,16.5232006759418 49.2284039066869,16.5231613411808 49.2284194556683,16.5230424890138 49.2284720122566,16.5225152579302 49.2287447191949,16.5222240602204 49.2288953312812,16.5220114046976 49.2290017829376,16.5218172412431 49.2290858117271,16.5212012889861 49.2293235970181,16.5205078512614 49.229558339327,16.5204812111162 49.2295259473568,16.5204386195373 49.2295212706226,16.520058619987 49.2296132086505,16.5197304488654 49.2296834359426,16.5196483584609 49.2296961043397,16.5189531660227 49.2297424092725,16.5180529465034 49.2298220662495,16.5176928188874 49.2298743503799))","338","80","150"
"LINESTRING ((16.5286654131035 49.2345515400959,16.5285663957307 49.2345339675399,16.528505634449 49.2345355032366,16.5274655244442 49.2346054179072,16.5249920342234 49.2347599692227,16.5245878758959 49.2347878693843,16.5240823101887 49.2348108660566,16.5239688970858 49.2348075474494,16.5237752044339 49.2347786750182,16.5235655895669 49.2347177258042,16.5234997885404 49.2347014395371,16.523304241693 49.2346654681804,16.5231888788454 49.2346589336438,16.5230678408086 49.2346673712094,16.5229051971072 49.2346999700667,16.5227840930117 49.234733641039,16.5225975939015 49.2348040638887,16.522129261352 49.2350410314366,16.5220574704155 49.2350738880459,16.5219307018663 49.2351216265886,16.5218318422428 49.2351494705786,16.5217485192146 49.2351636811557,16.5216288516035 49.235174657809,16.5215419728596 49.235175406589,16.5213310576752 49.2351702647694,16.5212322530596 49.2351688030168,16.5211797217947 49.235169024189,16.5210340800248 49.235175880027,16.5208392311959 49.2352060811037,16.520641267774 49.2352508040468,16.520448763031 49.2353008926611,16.5203446819675 49.2353324506056,16.520152215357 49.2353751056349,16.5199673867005 49.2354054344623,16.5197014704044 49.2354316058275,16.5194004136296 49.2354535336439,16.5189180140851 49.2354642083586,16.5188254979523 49.2354610688757))","308","12","35"
"LINESTRING ((16.5188254979523 49.2354610688757,16.5188620257752 49.2351801794005,16.5188704788519 49.2351154717773,16.5189000685865 49.2348877289314,16.5189710695707 49.2343407289672,16.5190843934116 49.233509545499,16.519170091725 49.2329762621364,16.5190565332324 49.2323322122033,16.5189619281645 49.2318771886733,16.5188953690853 49.2318199568353,16.5187776801661 49.2317918116407,16.5179389398735 49.2317520303186,16.5176883288018 49.2317257657081,16.5175065126721 49.2316978223816,16.5173860605605 49.2316680304787,16.5172429043476 49.23160296134,16.5170951718803 49.2315106973958,16.5169988749025 49.2314123462898,16.5169324688936 49.2312979526552,16.5168949433971 49.2312149362817,16.5168834335197 49.231158116719,16.5168853881098 49.2311009043314,16.5169022100189 49.2310348962258,16.5169238196175 49.2309617226604,16.516971655781 49.2308803858012,16.5170226108755 49.2308142887959,16.5171298998495 49.2307202021441,16.5170754987137 49.2306886258471,16.5170911092162 49.2305951212893,16.5171121326723 49.230569307357,16.5172403192722 49.23052710377,16.5174194076969 49.2304671053232,16.5175873584991 49.2304101085642,16.5177478743344 49.2303571023216,16.5179290687 49.2302968921042,16.5181010514086 49.2302397310386,16.5178755839804 49.2299304952028,16.5176928188874 49.2298743503799))","339","50","140"
