"WKT","Nehody_Brn","Nehody_B_1","Nehody_B_2","Nehody_B_3","Nehody_B_4","Nehody_B_5","Nehody_B_6","Nehody_B_7","Nehody_B_8","Nehody_B_9","Nehody__10","Nehody__11","Nehody__12","Nehody__13","Nehody__14","Nehody__15","F06_csv_Te","F06_csv_Le"
"POINT (16.6406260140001 49.1951007970001)","60206172646.00000000000","2017/12/10","Neděle","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.64062601370","49.19510079750","0","1"
"POINT (16.6238367600001 49.2075357890001)","60206172631.00000000000","2017/12/08","Pátek","Den","Srážka s chodcem","Chodcem","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","0","16.62383676050","49.20753578940","0","1"
"POINT (16.5941934570001 49.2004911590001)","60206172519.00000000000","2017/11/24","Pátek","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","0","16.59419345670","49.20049115930","0","1"
"POINT (16.5781970530001 49.2103159910001)","60206172419.00000000000","2017/11/12","Neděle","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","1","Neztížené","Výjezd z parkoviště, lesní cesty apod.","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","3000","16.57819705320","49.21031599100","0","0"
"POINT (16.528389669 49.2188345590001)","60206172412.00000000000","2017/11/11","Sobota","Den","Srážka s chodcem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","0","16.52838966940","49.21883455880","0","1"
"POINT (16.5758557410001 49.168442982)","60206172413.00000000000","2017/11/11","Sobota","Den","Havárie","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.57585574130","49.16844298180","0","1"
"POINT (16.5949507080001 49.187050485)","60206172403.00000000000","2017/11/10","Pátek","Noc","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Jiné","Ne","2000","16.59495070780","49.18705048550","0","1"
"POINT (16.579829149 49.212221045)","60206172363.00000000000","2017/11/04","Sobota","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","2000","16.57982914940","49.21222104460","0","1"
"POINT (16.555202222 49.212204625)","60206172347.00000000000","2017/11/03","Pátek","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.55520222190","49.21220462500","0","1"
"POINT (16.604607201 49.1964167140001)","60206172336.00000000000","2017/11/02","Čtvrtek","Noc","Srážka s vozidlem zaparkovaným, odstaveným","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Parkoviště přiléhající ke komunikaci","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","0","16.60460720090","49.19641671360","0","1"
"POINT (16.5932337350001 49.1874445450001)","60206172254.00000000000","2017/10/23","Pondělí","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.59323373480","49.18744454520","0","1"
"POINT (16.636863857 49.2142075140001)","60206172211.00000000000","2017/10/18","Středa","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Zastávka autobusu, trolejbusu, tramvaje bez nástup. ostrůvku","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","5000","16.63686385710","49.21420751420","0","1"
"POINT (16.6424551530001 49.19764388)","60206172153.00000000000","2017/10/13","Pátek","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.64245515320","49.19764388030","0","1"
"POINT (16.64349944 49.2209669260001)","60206171878.00000000000","2017/09/07","Čtvrtek","Den","Srážka s chodcem","Chodcem","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.64349943990","49.22096692630","1","0"
"POINT (16.650960519 49.186700145)","60206171830.00000000000","2017/08/30","Středa","Den","Havárie","Závadou komunikace","Nezjišťováno","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","0","16.65096051910","49.18670014550","0","1"
"POINT (16.579895042 49.246465492)","60206171828.00000000000","2017/08/29","Úterý","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","5000","16.57989504220","49.24646549180","0","1"
"POINT (16.5802919400001 49.17229008)","60206171811.00000000000","2017/08/26","Sobota","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Výjezd z parkoviště, lesní cesty apod.","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","500","16.58029194000","49.17229008030","0","1"
"POINT (16.5898180930001 49.2117417790001)","60206171801.00000000000","2017/08/25","Pátek","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.58981809320","49.21174177880","0","1"
"POINT (16.579415957 49.2449534410001)","60206171790.00000000000","2017/08/24","Čtvrtek","Noc","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.57941595650","49.24495344120","0","0"
"POINT (16.6145999130001 49.1917212550001)","60206171780.00000000000","2017/08/23","Středa","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","V blízkosti přechodu pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","2000","16.61459991330","49.19172125480","0","1"
"POINT (16.654389458 49.185768013)","60206171755.00000000000","2017/08/19","Sobota","Den","Srážka s vozidlem zaparkovaným, odstaveným","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","2000","16.65438945830","49.18576801270","0","1"
"POINT (16.5538745710001 49.218454938)","60206171747.00000000000","2017/08/18","Pátek","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Přechod pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.55387457100","49.21845493840","0","1"
"POINT (16.664280004 49.214268137)","60206171749.00000000000","2017/08/18","Pátek","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.66428000450","49.21426813650","0","1"
"POINT (16.628791709 49.188768769)","60206171733.00000000000","2017/08/16","Středa","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Nezjišťováno","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","5000","16.62879170950","49.18876876930","0","1"
"POINT (16.6129518770001 49.191089257)","60206171734.00000000000","2017/08/16","Středa","Den","Havárie","Technickou závadou vozidla","Nezjišťováno","0","Neztížené","Zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.61295187750","49.19108925650","0","1"
"POINT (16.625498597 49.186527739)","60206171739.00000000000","2017/08/16","Středa","Den","Srážka s vozidlem zaparkovaným, odstaveným","Řidičem nemotorového vozidla","Pod vlivem drog","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","0","16.62549859660","49.18652773940","0","1"
"POINT (16.576373247 49.2319689830001)","60206171682.00000000000","2017/08/09","Středa","Noc","Havárie","Řidičem nemotorového vozidla","Nezjišťováno","0","Neztížené","Zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.57637324740","49.23196898300","0","1"
"POINT (16.5951529340001 49.1910626820001)","60206171689.00000000000","2017/08/09","Středa","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","V blízkosti přechodu pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","30000","16.59515293370","49.19106268170","1","0"
"POINT (16.524576478 49.1971476460001)","60206171692.00000000000","2017/08/09","Středa","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ano","10000","16.52457647840","49.19714764600","0","2"
"POINT (16.5928344450001 49.236555788)","60206171774.00000000000","2017/08/08","Úterý","Den","Srážka s domácím zvířetem","Lesní zvěří, domácim zvířetem","Nezjišťováno","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.59283444550","49.23655578800","0","1"
"POINT (16.6165091840001 49.196806452)","60206171668.00000000000","2017/08/06","Neděle","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Na počátku deště, slabý déšť, mrholení apod","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ano","3000","16.61650918440","49.19680645190","0","1"
"POINT (16.530176215 49.2288919470001)","60206171659.00000000000","2017/08/05","Sobota","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","3000","16.53017621550","49.22889194710","0","1"
"POINT (16.594588946 49.209444568)","60206171655.00000000000","2017/08/04","Pátek","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.59458894590","49.20944456800","0","1"
"POINT (16.652972435 49.221406723)","60206171633.00000000000","2017/08/01","Úterý","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Zastávka autobusu, trolejbusu, tramvaje bez nástup. ostrůvku","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ano","0","16.65297243530","49.22140672290","0","1"
