"WKT","Idcko","Datum","Cas","denvtydnu","weekday","Nocden","daynight","Misto","Udalost","Incident","Vyrizeni","closing","Zdroj","Source","Y","X"
"POINT (16.604999073 49.1920551310001)","1916","2017/12/13","1899/12/30","Středa","Wednesday","Den","Day","Husova 5, Brno","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19205513120","16.60499907270"
"POINT (16.5849115070001 49.2254482230001)","2415","2017/12/12","1899/12/30","Úterý","Tuesday","Den","Day","cervinkova 1, Brno-Kralovo Pole","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22544822270","16.58491150710"
"POINT (16.5849115070001 49.2254482230001)","2417","2017/12/12","1899/12/30","Úterý","Tuesday","Den","Day","cervinkova 1, Brno-Kralovo Pole","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22544822270","16.58491150710"
"POINT (16.518559161 49.2301986510001)","2880","2017/12/10","1899/12/30","Neděle","Sunday","Den","Day","Pristavni, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.23019865070","16.51855916070"
"POINT (16.5665 49.177)","10302","2017/11/15","1899/12/30","Středa","Wednesday","Den","Day","Netroufalky 14, Brno-Bohunice","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.17700000000","16.56650000000"
"POINT (16.640074762 49.178518216)","11814","2017/11/12","1899/12/30","Neděle","Sunday","Den","Day","Charbulova 104, Brno-cernovice","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.17851821580","16.64007476240"
"POINT (16.596776859 49.211461872)","11906","2017/11/11","1899/12/30","Sobota","Saturday","Den","Day","Botanicka 67, Brno-Ponava","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.21146187230","16.59677685950"
"POINT (16.6001999 49.201421829)","12456","2017/11/09","1899/12/30","Čtvrtek","Thursday","Noc","Night","Pekarenska 4, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20142182870","16.60019990030"
"POINT (16.6260610800001 49.204069557)","14500","2017/11/05","1899/12/30","Neděle","Sunday","Noc","Night","Auerswaldova 3, Brno-Zabrdovice","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20406955680","16.62606108020"
"POINT (16.604225066 49.2043823440001)","15229","2017/11/02","1899/12/30","Čtvrtek","Thursday","Den","Day","Cihlarska 24, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20438234370","16.60422506600"
"POINT (16.620608191 49.198465651)","17056","2017/10/27","1899/12/30","Pátek","Friday","Noc","Night","Cejl, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19846565130","16.62060819070"
