"wkt","typ","delka"
"MULTILINESTRING ((16.5769837761454 49.2311297388405,16.5770810741914 49.23102776158,16.5772519257756 49.2308568213624,16.577357314469 49.2307721717073,16.5774713405113 49.2306905291046,16.5776165709229 49.2305859750671,16.5777828839497 49.2304865090999))","stezka pro chodce a cyklisty (dělená) - C10","92.66098295310"
"MULTILINESTRING ((16.5780449905756 49.2302594526684,16.5781269041096 49.2302767616434,16.5782035983504 49.2302726390889,16.5794972352226 49.2298227364957,16.5800052081872 49.229632908125,16.580386110147 49.229451280943,16.5809783593822 49.229229144729,16.5810423482772 49.229178167671,16.5810594108849 49.2291104546857))","stezka pro chodce a cyklisty (dělená) - C10","260.12800655800"
"MULTILINESTRING ((16.5364852469852 49.2212330527998,16.5365053095226 49.2211985406031,16.5365299411234 49.2211318955506,16.5365539357218 49.2210850154386,16.5365987412071 49.2209974774531,16.5366596586009 49.2208809623989,16.5366696103587 49.2208619271712,16.5366753571698 49.220850935432,16.5367689952359 49.2207182827699,16.5368275164089 49.22064185601,16.5368876231747 49.2205633534122,16.536978759449 49.2204457189693,16.537003695098 49.2204230901601,16.5370335148239 49.2203960268217,16.5370835592415 49.2203506078701,16.5372289174569 49.2202078260417,16.5372338342575 49.2202029958302,16.5372496452332 49.2201909437412,16.5374176785692 49.2200628565397,16.537549996473 49.2199702184647,16.5376278338524 49.2199157226284,16.5378768296384 49.2197622140325,16.5379187547826 49.2197363653532,16.5379394815038 49.2197248534057,16.5382319884386 49.2195623915557,16.5386086958929 49.219382566344,16.5386647797122 49.2193557938818,16.5389567659348 49.2192164072464,16.5390991933664 49.2191554709305,16.5392709571987 49.2190819827731,16.5394210618881 49.2190177608303,16.5395794854633 49.2189584224009,16.5397448615558 49.2188964794199,16.5399233448498 49.2188406773001,16.5404506817948 49.2186758018364,16.540567635605 49.2186479643377,16.5406253827497 49.2186342191264,16.5408231962748 49.2185871332382,16.5411136333499 49.2185268056402,16.54120276695 49.2185102656189,16.5413650476223 49.2184801524474,16.5417656640536 49.2184200913996,16.541831155516 49.2184130633107,16.5420846360148 49.2183858599108,16.5423646183663 49.2183608747087,16.5424533705209 49.2183529543185,16.5425419938218 49.218345044563,16.5428361621135 49.2183204469147,16.5429297596203 49.2183157224253,16.5430728498232 49.218309267502,16.5431362930206 49.2183064054977,16.5433731890488 49.2183005131381,16.5435207252304 49.2182971150289,16.5436867919942 49.2182988541722,16.5437079688608 49.2182990750791,16.5439925206919 49.2183206542245,16.5442919922021 49.2183409873445,16.5443558235268 49.2183453211504,16.5444917602759 49.218365164613,16.5447190045504 49.2183940489961,16.5448913176725 49.2184184413874,16.5454894447897 49.2185031083911,16.5457297748001 49.2185371281904,16.5460874150147 49.2185887279421,16.5465116019528 49.2186499284463,16.546685280713 49.2186749853671,16.5471141030279 49.2187368508302,16.5472831486442 49.2187612388003,16.5474671555957 49.2187877840526,16.5478827749666 49.2188369350638,16.5479261109793 49.2188420596063,16.5481232056503 49.2188662530528,16.548277367818 49.2188810601642,16.5485886737762 49.218904536374,16.5488817075533 49.2189216335429,16.5490729816125 49.2189226148825,16.5494175266947 49.2189205902124,16.5497386899686 49.2189080318488,16.5501124190658 49.2188700949569,16.5503750364297 49.2188438526872,16.5504231078684 49.2188390489863,16.5505853264826 49.2188169368461,16.5507159504817 49.2187991309671,16.5512032300016 49.2186945540607,16.5514723931848 49.218622543787,16.5516390944463 49.2185736264811,16.5519722684546 49.2184770521687,16.5522718968891 49.2183730201497,16.5528492792987 49.2181101759188,16.5531305023891 49.2179655523811))","stezka pro chodce a cyklisty (nedělená) - C9","1380.54428011000"
"MULTILINESTRING ((16.5603376712371 49.2162250328962,16.5603101770366 49.2163282506301,16.5602949388152 49.2164420439325,16.5603042670027 49.2165839138504,16.560342557972 49.2167493869479,16.5604057319893 49.2169190260386,16.5605345234412 49.217155565755,16.5606056289246 49.2172994432749))","stezka pro chodce a cyklisty (nedělená) - C9","122.91868486700"
"MULTILINESTRING ((16.56033927315 49.2159720919712,16.5602184500245 49.2155976739699,16.560138517832 49.2153790147575,16.5600585864931 49.2151603545884,16.5600228591206 49.2150626162102,16.559978654495 49.2149416942594,16.559898725783 49.2147230349562,16.5596641094201 49.2140674220149,16.5595855167011 49.2138369399084,16.5593946315575 49.2133268789501,16.559343195352 49.2131894377632,16.5593177130229 49.2131213476959,16.5593135548981 49.213102590268,16.5592545573779 49.2128364342634,16.5592783838698 49.2126465791432,16.5593789853775 49.2122847545538,16.5594339869152 49.2120832127415,16.559499840805 49.2120037973586))","stezka pro chodce a cyklisty (nedělená) - C9","452.56248312400"
"MULTILINESTRING ((16.5595534359739 49.2117319446337,16.5594531526502 49.211595212009,16.5591982163919 49.2112527989565,16.5590857275177 49.2111348817489,16.5589096908241 49.2109938157553,16.5587672727717 49.2109010969679,16.5586142506619 49.2108265300292,16.5585022971085 49.2107668323374,16.5583031164306 49.2106606215933,16.5580249362867 49.2105136233776,16.5578155126099 49.2103774393181,16.5577191226232 49.210308941129,16.557604704306 49.2102170196191))","stezka pro chodce a cyklisty (nedělená) - C9","223.79533023600"
"MULTILINESTRING ((16.5716940497217 49.2168740364951,16.5715899947428 49.2167673809874,16.5706111621164 49.2156312820216,16.5704082648056 49.215387234552,16.5699937812375 49.2148886810492,16.569961926491 49.214839270289))","stezka pro cyklisty - C8","259.14482045700"
"MULTILINESTRING ((16.573697132099 49.2182607806457,16.5735532031817 49.2182204853976,16.5732689309064 49.2180299368194,16.573145474877 49.2179410839597,16.5727056397527 49.2176245260501,16.5726777286693 49.2176043521471,16.5725110424681 49.2174838687924,16.5720179011783 49.2171274148809,16.571857382445 49.2170121148677))","stezka pro cyklisty - C8","193.94773055900"
"MULTILINESTRING ((16.5888971954277 49.2328328147126,16.5888125121666 49.2328095284972,16.5874680936656 49.2324761281752,16.587371297826 49.2324534282627))","jízda cyklistů v protisměru - E12","118.86584224600"
"MULTILINESTRING ((16.5860871804685 49.2203294161881,16.5871923266888 49.2206363713004))","jízda cyklistů v protisměru - E12","87.43825502440"
"MULTILINESTRING ((16.586216753985 49.2203654066106,16.5870790813814 49.2206049180022))","stezka pro cyklisty - C8","68.22660058820"
"MULTILINESTRING ((16.5873071376495 49.2206687533266,16.5880509960868 49.2208785529112))","stezka pro cyklisty - C8","58.99266595120"
"MULTILINESTRING ((16.5871923266888 49.2206363713004,16.5880968270079 49.2208914786472,16.5883250978346 49.2209558588609))","jízda cyklistů v protisměru - E12","89.83577977760"
"MULTILINESTRING ((16.6028162851776 49.1846795149574,16.6030125620093 49.1848774928351,16.6030975212466 49.1849631874054,16.6032159535754 49.1850826446088,16.6032477349729 49.1851146999445,16.6033615438212 49.1852294928865,16.6034254368582 49.1852882269593,16.6034605657231 49.1853205186815,16.6035610303743 49.1854128713681,16.6036368834824 49.1854841884089,16.6036470647309 49.1854946708538,16.603658255779 49.1855061918159,16.6037312432025 49.1855813297162,16.6038614451698 49.1857006003008,16.6040309146423 49.185855839384,16.6040837806394 49.185907092353,16.6041617678942 49.1859827028844,16.604311888794 49.1861139931303,16.6043305894008 49.1861303482629,16.6045101007911 49.1862968412995,16.6045365900545 49.1863206535793,16.6045468151602 49.1863298437781,16.6048706024231 49.1866208860791,16.6052311087681 49.1869449297176,16.6054227906861 49.187121328705,16.6056999878812 49.1873567677515,16.6057132663306 49.187368045673,16.6059286738461 49.1875637071074,16.6059292811228 49.1875642584842,16.6060859484461 49.1877019939448,16.6061652827044 49.1877712056555,16.6064032411716 49.1879787992325,16.6064357806106 49.1880071860124,16.606569595641 49.188116165819,16.6066269238055 49.1881609524794,16.6066613149146 49.1881878197064,16.606788808506 49.1882874191959,16.6068751978227 49.1883549061468,16.6069399182423 49.1883982917639,16.6069730779906 49.1884205210601))","nápis ""TAXI CYKLO BUS""","515.02890294600"
"MULTILINESTRING ((16.6062215318905 49.1880805279372,16.6058817144501 49.1877689221108,16.6057479018696 49.1876599415013,16.6055182475773 49.1874627614459,16.6052535766229 49.1872269183211,16.605051205649 49.1870316712003,16.6046770602729 49.186706659997,16.6043895442934 49.1864420595214,16.6042404831157 49.1863059458098,16.6041702708201 49.186243941351,16.603715734773 49.1858425364481,16.6036566815227 49.1857944372492,16.6035697683087 49.1857236457304,16.603433904547 49.1855903659199,16.603306591391 49.1854788576531))","nápis ""TAXI CYKLO BUS""","359.03732403600"
"MULTILINESTRING ((16.6071652265759 49.1888378023052,16.6070329683182 49.1887369331645,16.6067059826391 49.188460497873,16.6064097967697 49.188229113301,16.606400380622 49.1882217571009,16.6062772556242 49.1881316248393,16.6062670098183 49.1881222298652))","piktogramový koridor pro cyklisty - V20","103.08077005900"
